id,name,sha256
1,DiskExplorer.for.NTFS.v4.32.zip,EEEBB703E2E3A5CE1FD4B78B224F6AE94EB62F0AC267FE96B109F206F4825481
2,Le_livre_du_C_pour_les_vrais_débutants_en_programmation,73BFBDD7D2A2AE939C7D39CE6512482140909C11ACFEAFF58820DBF1D3C130B1
